Original Title,Found Title,Status,URL
"| 61 | Idle Magic School | 1 |","",NOT_FOUND,
"| 62 | Idle Outpost | 1 |","",SUCCESS,https://www.metacritic.com/game/ios/idle-outpost-business-game/`
"| 63 | Idle Planet Miner | 1 |","",NOT_FOUND,
"| 64 | Idle Saga | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/idle-saga/
"| 65 | Idle Space Energy Particle Simulator | 1 |","",NOT_FOUND,
"| 66 | Idle Weapon Shop | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/idle-weaponshop
"| 67 | IdleOn The Idle Game MMO | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/legends-of-idleon-mmo/details
"| 68 | Journey to Incrementalia | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/journey-to-incrementalia/reviews/
"| 69 | Legend of Mushroom | 1 |","",SUCCESS,https://www.metacritic.com/game/ios/legend-of-mushroom/
"| 70 | Lumberjacked | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/lumberjacked
"| 71 | Moose Miners | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/moose-miners/
"| 72 | My Little Universe | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/my-little-universe/critic-reviews/
"| 73 | Nodebuster | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/nodebuster
"| 74 | PolyPine | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/polypine
"| 75 | Professional Gluteus Maximus Slapper | 1 |","",NOT_FOUND,
"| 76 | Rusty's Retirement | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/rustys-retirement/
"| 77 | Sixty Four | 1 |","",SUCCESS,https://www.metacritic.com/game/sixty-four/
"| 78 | Super Mining Mix | 1 |","",SUCCESS,https://www.metacritic.com/game/super-mining-mechs/
"| 79 | Tapple | 1 |","",NOT_FOUND,
"| 80 | The Legends of Dragia | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/legends-of-dragaea-idle-dungeons
"| 81 | Tower Wizard | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/tower-wizard/
"| 82 | Universe Horizon | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/universe-horizon
"| 83 | Widget Inc | 1 |","",SUCCESS,https://www.metacritic.com/game/pc/widget-inc
